Year,Network,Results,Avg,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,,champ,runner
1988,CBS,"Los Angeles Lakers 4,Detroit Pistons 3",15.4/31(21.70MViewers),13.9,14.8,12.0,14.8,16.1,14.4,21.2/37,NA,,
1987,CBS,"Los Angeles Lakers 4,Boston Celtics 2",15.9/32(24.12MViewers),13.8,14.6,11.9,18.9,18.9,17.3,No Game,NA,,
1986,CBS,"Boston Celtics 4,Houston Rockets 2",14.1/31(14.43MHouseholds),9.9,14.8,13.4,15.4,16.9,14.2,No Game,NA,,
1985,CBS,"Los Angeles Lakers 4,Boston Celtics 2",13.5/30,---,14.3,---,17.0,15.3,15.3,No Game,NA,,
1984,CBS,"Boston Celtics 4,Los Angeles Lakers 3",12.1/26,---,12.3,---,13.1,12.1,---,19.3,NA,,
1983,CBS,"Philadelphia 76ers 4,Los Angeles Lakers 0",12.3/26,---,12.9/23,---,---,No Game,No Game,No Game,NA,,
1982,CBS,"Los Angeles Lakers 4,Philadelphia 76ers 2",13.0/28,NA,NA,NA,NA,NA,NA,NA,NA,,
1981,CBS,"Boston Celtics 4,Houston Rockets 2",6.7/27,NA,NA,NA,NA,NA,NA,NA,NA,,
1980,CBS,"Los Angeles Lakers 4,Philadelphia 76ers 2",8.0/29,NA,NA,NA,NA,NA,NA,NA,NA,,
1979,CBS,"Seattle SuperSonics 4,Washington Bullets 1",7.2/24,NA,NA,NA,NA,NA,NA,NA,NA,,
1978,CBS,"Washington Bullets 4,Seattle SuperSonics 3",9.9/25,NA,NA,NA,NA,NA,NA,NA,NA,,
1977,CBS,"Portland Trail Blazers 4,Philadelphia 76ers 2",12.7/33,NA,NA,NA,NA,NA,NA,NA,NA,,
1976,CBS,"Boston Celtics 4,Phoenix Suns 2",11.5/29,NA,NA,NA,NA,NA,NA,NA,NA,,
1975,CBS,"Golden State Warriors 4,Washington Bullets 0",10.1/28(11.38MViewers),NA,NA,NA,NA,NA,NA,NA,NA,,
1974,CBS,"Boston Celtics 4,Milwaukee Bucks 3",13.5/32,NA,NA,NA,NA,NA,NA,NA,NA,,
